code,date,open,high,low,close,volume
0010,17/10/06,1677.77,1690.70,1671.05,1687.16,7304900000
0010,17/09/29,1674.33,1676.92,1658.90,1674.75,7847400000
0010,17/09/22,1655.89,1679.83,1654.96,1664.61,7468700000
0010,17/09/15,1607.69,1642.56,1606.98,1638.94,8407400000
0010,17/09/08,1613.59,1616.04,1578.66,1593.54,8288400000
0010,17/09/01,1600.70,1624.37,1589.05,1619.59,7838000000
0010,17/08/25,1601.02,1611.06,1592.20,1596.99,6960900000
0010,17/08/18,1602.18,1622.26,1592.23,1597.36,8153200000
0010,17/08/10,1640.47,1642.34,1610.46,1617.25,7188700000
0010,17/08/04,1618.99,1638.61,1616.49,1631.45,9193100000
0010,17/07/28,1619.23,1636.53,1613.08,1621.22,8652000000
0010,17/07/21,1621.21,1634.96,1610.79,1629.99,6643600000
0010,17/07/14,1617.38,1628.61,1611.54,1625.48,8239700000
0010,17/07/07,1613.65,1625.87,1602.47,1607.06,8590200000
0010,17/06/30,1611.29,1627.54,1604.82,1611.90,8809000000
0010,17/06/23,1597.21,1625.05,1596.09,1611.34,8038100000
0010,17/06/16,1588.35,1602.91,1581.68,1596.04,9268800000
0010,17/06/09,1605.39,1612.91,1585.22,1591.66,9318700000
0010,17/06/02,1569.93,1613.18,1562.78,1612.20,8672900000
0010,17/05/26,1566.64,1582.66,1562.05,1569.42,7980200000
0010,17/05/19,1572.11,1590.70,1547.99,1559.73,10387700000
0010,17/05/12,1569.15,1588.84,1568.83,1580.71,11109500000
0010,17/05/02,1531.45,1552.83,1530.31,1550.30,3623800000
0010,17/04/28,1507.80,1538.89,1500.88,1531.80,9872100000
0010,17/04/21,1452.15,1491.24,1452.15,1488.58,8685900000
0010,17/04/14,1500.55,1503.70,1456.18,1459.07,9145100000
0010,17/04/07,1518.90,1523.59,1476.77,1489.77,10637400000
0010,17/03/31,1529.26,1545.60,1512.60,1512.60,9486100000
0010,17/03/24,1560.62,1565.92,1523.11,1543.92,7234000000
0010,17/03/17,1570.33,1578.51,1560.82,1565.85,8690300000
