date,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2018/1/19,23854.11,23872.69,23735.61,23808.06,23782.4,23335.8,23082.9,22419.4,22419.4,462.2,21949.2,22411.4,24260.2,24722.4,79.9
2018/1/22,23797.84,23816.33,23697.81,23816.33,23785.9,23379.4,23118.8,22438.3,22438.3,462.3,21992.4,22454.7,24304.1,24766.4,81.6
2018/1/23,23924.4,24129.34,23916.02,24124.15,23837.6,23439.2,23159.9,22460.8,22460.8,474,22017.2,22491.2,24387.2,24861.2,83.8
2018/1/24,24026.43,24072.77,23917.14,23940.78,23873.5,23489.1,23192.9,22480.2,22480.2,468.7,22083.1,22551.8,24426.4,24895.1,84.7
2018/1/25,23750.65,23828.4,23649.03,23669.49,23867.8,23527.4,23221.2,22495.7,22495.7,447.6,22184.7,22632.3,24422.5,24870.1,75.5
2018/1/26,23757.34,23797.96,23592.28,23631.88,23827.8,23562.1,23250.9,22510.3,22510.3,424.4,22289,22713.4,24410.8,24835.2,63.2
2018/1/29,23707.14,23787.23,23580.17,23629.34,23797.9,23595,23293.6,22524.4,22524.4,399.7,22395.8,22795.5,24394.5,24794.2,49
2018/1/30,23559.33,23581.98,23233.37,23291.97,23739,23614,23317,22534,22534,373.3,22494.2,22867.5,24360.5,24733.8,29.7
2018/1/31,23205.23,23375.38,23092.85,23098.29,23650.3,23622.9,23325.4,22541,22541,357.6,22550.2,22907.8,24338,24695.6,7.9
2018/2/1,23276.1,23492.77,23211.12,23486.11,23609,23656.3,23341.5,22552.5,22552.5,304,22744.3,23048.3,24264.3,24568.3,-16.2
2018/2/2,23361.67,23367.96,23122.45,23274.53,23502.8,23680.6,23353.6,22561.2,22561.2,243.6,22949.7,23193.3,24167.9,24411.5,-43.2
2018/2/5,22921.16,22967.69,22659.43,22682.08,23345.5,23641.4,23351.3,22562.7,22562.7,325.7,22664.3,22990,24292.8,24618.5,-60.9
2018/2/6,22267,22277.45,21078.71,21610.24,23088.1,23541.1,23319.4,22551.4,22551.4,549.1,21893.7,22442.8,24639.4,25188.5,-70.1
2018/2/7,22001.29,22353.87,21627.13,21645.37,22839.7,23436.2,23292.7,22540.9,22540.9,681.8,21390.7,22072.5,24799.9,25481.7,-74.2
2018/2/8,21721.57,21977.03,21649.7,21890.86,22622.4,23345.8,23263,22533.4,22533.4,754.7,21081.8,21836.5,24855.1,25609.8,-79.4
2018/2/9,21507.74,21510.3,21119.01,21382.62,22383.8,23235,23219.3,22520.4,22520.4,861.8,20649.6,21511.4,24958.6,25820.4,-85.1
2018/2/13,21633.34,21679.2,21211.53,21244.68,22152.1,23120.2,23170.9,22506,22506,958.2,20245.6,21203.8,25036.6,25994.8,-90.9
