code,date,open,high,low,close
998407.O,2018/03/26,20423.37,20766.1,20347.49,20766.1
998407.O,2018/03/27,20958.9,21317.32,20943.31,21317.32
998407.O,2018/03/28,20893.05,21031.31,20776.82,21031.31
998407.O,2018/03/29,21250.96,21298.57,20996.22,21159.08
998407.O,2018/03/30,21392.42,21512.8,21311.5,21454.3
998407.O,2018/04/02,21441.57,21597.47,21388.58,21388.58
998407.O,2018/04/03,21115.48,21333.5,21056.02,21292.29
998407.O,2018/04/04,21415.85,21415.85,21238.18,21319.55
998407.O,2018/04/05,21541.18,21737.66,21462.1,21645.42
998407.O,2018/04/06,21633.73,21742.84,21550.42,21567.52
998407.O,2018/04/09,21534.33,21737.09,21517.77,21678.26
998407.O,2018/04/10,21599.67,21933.99,21542.37,21794.32
998407.O,2018/04/11,21819.09,21837.36,21687.1,21687.1
998407.O,2018/04/12,21657.87,21719.43,21591.39,21660.28
998407.O,2018/04/13,21801.41,21917.35,21746.69,21778.74
998407.O,2018/04/16,21843.55,21879.69,21775.61,21835.53
998407.O,2018/04/17,21801.83,21889.89,21772.42,21847.59
998407.O,2018/04/18,21929.01,22194.11,21914.96,22158.2
998407.O,2018/04/19,22231.86,22360.65,22176.86,22191.18
998407.O,2018/04/20,22148.22,22261.35,22076.63,22162.24
998407.O,2018/04/23,22157.88,22204.86,22065.52,22088.04
998407.O,2018/04/24,22228.82,22304.69,22149.59,22278.12
998407.O,2018/04/25,22118.62,22228.78,22080.76,22215.32
998407.O,2018/04/26,22278.77,22381.66,22265.2,22319.61
998407.O,2018/04/27,22466.66,22495.56,22357.53,22467.87
998407.O,2018/05/01,22453.42,22519.45,22411.43,22508.03
998407.O,2018/05/02,22568.19,22568.19,22426.55,22472.78
998407.O,2018/05/07,22513.22,22513.48,22350.91,22467.16
998407.O,2018/05/08,22440.65,22566.68,22423.23,22508.69
998407.O,2018/05/09,22463.01,22478.64,22364.75,22408.88
998407.O,2018/05/10,22482.51,22530.64,22418.75,22497.18
998407.O,2018/05/11,22573.95,22769.16,22545.47,22758.48
998407.O,2018/05/14,22705.3,22894.76,22683.64,22865.86
998407.O,2018/05/15,22889.47,22912.06,22805.72,22818.02
998407.O,2018/05/16,22730.12,22796.14,22695.84,22717.23
998407.O,2018/05/17,22820.62,22887.03,22799.16,22838.37
998407.O,2018/05/18,22907.2,22954.19,22867.3,22930.36
998407.O,2018/05/21,22937.58,23050.39,22935.31,23002.37
998407.O,2018/05/22,23025.95,23031.67,22952.87,22960.34
998407.O,2018/05/23,22868.79,22949.73,22649.85,22689.74
998407.O,2018/05/24,22621.29,22644.69,22366.6,22437.01
998407.O,2018/05/25,22380.22,22509.36,22318.15,22450.79
998407.O,2018/05/28,22488.95,22547.67,22410.91,22481.09
998407.O,2018/05/29,22431.95,22439.1,22240.39,22358.43
998407.O,2018/05/30,22051.97,22079.23,21931.65,22018.52
998407.O,2018/05/31,22163.4,22254.42,22098.0,22201.82
998407.O,2018/06/01,22126.25,22316.91,22098.04,22171.35
998407.O,2018/06/04,22365.09,22515.72,22355.83,22475.94
998407.O,2018/06/05,22552.17,22602.13,22470.04,22539.54
998407.O,2018/06/06,22520.31,22662.82,22498.59,22625.73
998407.O,2018/06/07,22748.72,22856.37,22732.18,22823.26
998407.O,2018/06/08,22799.38,22879.0,22694.5,22694.5
998407.O,2018/06/11,22686.95,22856.08,22667.3,22804.04
998407.O,2018/06/12,22977.22,23011.57,22797.73,22878.35
998407.O,2018/06/13,22896.17,22993.26,22895.31,22966.38
998407.O,2018/06/14,22842.96,22898.39,22738.61,22738.61
998407.O,2018/06/15,22883.24,22885.84,22770.38,22851.75
998407.O,2018/06/18,22806.57,22806.89,22601.13,22680.33
998407.O,2018/06/19,22565.92,22618.52,22278.48,22278.48
998407.O,2018/06/20,22338.53,22581.4,22167.16,22555.43
998407.O,2018/06/21,22523.28,22782.01,22491.08,22693.04
998407.O,2018/06/22,22456.45,22535.65,22414.18,22516.83
998407.O,2018/06/25,22543.56,22556.55,22312.79,22338.15
998407.O,2018/06/26,22160.33,22368.78,22104.12,22342.0
998407.O,2018/06/27,22320.88,22356.54,22205.34,22271.77
998407.O,2018/06/28,22195.19,22299.39,22038.4,22270.39
998407.O,2018/06/29,22314.47,22332.82,22145.48,22304.51
998407.O,2018/07/02,22233.8,22312.25,21784.48,21811.93
998407.O,2018/07/03,21889.06,21927.81,21574.56,21785.54
998407.O,2018/07/04,21679.0,21784.0,21604.18,21717.04
998407.O,2018/07/05,21697.44,21751.5,21462.95,21546.99
998407.O,2018/07/06,21647.66,21866.16,21642.96,21788.14
998407.O,2018/07/09,21838.53,22105.95,21825.76,22052.18
998407.O,2018/07/10,22215.34,22321.6,22196.89,22196.89
998407.O,2018/07/11,22002.14,22044.62,21744.25,21932.21
998407.O,2018/07/12,22036.87,22233.52,22019.19,22187.96
998407.O,2018/07/13,22397.62,22692.86,22316.52,22597.35
998407.O,2018/07/17,22605.73,22832.22,22575.42,22697.36
998407.O,2018/07/18,22917.52,22949.32,22794.19,22794.19
998407.O,2018/07/19,22871.62,22926.47,22761.87,22764.68
998407.O,2018/07/20,22734.56,22869.98,22541.35,22697.88
998407.O,2018/07/23,22480.33,22507.17,22341.87,22396.99
998407.O,2018/07/24,22555.05,22555.05,22416.23,22510.48
998407.O,2018/07/25,22594.28,22645.66,22547.14,22614.25
998407.O,2018/07/26,22711.59,22717.15,22549.77,22586.87
998407.O,2018/07/27,22646.48,22712.75,22593.2,22712.75
998407.O,2018/07/30,22613.3,22631.32,22518.94,22544.84
998407.O,2018/07/31,22472.12,22678.06,22352.21,22553.72
998407.O,2018/08/01,22642.18,22775.47,22615.98,22746.7
998407.O,2018/08/02,22676.73,22754.73,22464.81,22512.53
998407.O,2018/08/03,22585.54,22613.5,22490.57,22525.18
998407.O,2018/08/06,22536.05,22635.68,22486.74,22507.32
998407.O,2018/08/07,22514.31,22666.68,22499.05,22662.74
998407.O,2018/08/08,22666.56,22800.61,22610.29,22644.31
998407.O,2018/08/09,22591.54,22648.88,22497.99,22598.39
998407.O,2018/08/10,22606.91,22608.86,22272.69,22298.08
998407.O,2018/08/13,22117.57,22124.6,21851.32,21857.43
998407.O,2018/08/14,22053.07,22356.08,22047.19,22356.08
998407.O,2018/08/15,22368.12,22380.28,22110.29,22204.22
998407.O,2018/08/16,21980.82,22240.42,21871.7,22192.04
998407.O,2018/08/17,22313.19,22340.95,22244.1,22270.38
998407.O,2018/08/20,22267.07,22288.31,22150.75,22199.0
998407.O,2018/08/21,22110.54,22306.83,22053.14,22219.73
998407.O,2018/08/22,22270.04,22390.2,22162.81,22362.55
998407.O,2018/08/23,22420.67,22463.03,22377.88,22410.82
998407.O,2018/08/24,22484.01,22602.24,22452.42,22601.77
998407.O,2018/08/27,22693.69,22838.06,22682.39,22799.64
998407.O,2018/08/28,22967.74,23006.77,22813.47,22813.47
998407.O,2018/08/29,22820.86,22968.18,22819.97,22848.22
998407.O,2018/08/30,23020.18,23032.17,22832.83,22869.5
998407.O,2018/08/31,22733.25,22890.61,22678.03,22865.15
998407.O,2018/09/03,22819.17,22820.48,22684.43,22707.38
998407.O,2018/09/04,22740.05,22753.18,22612.15,22696.9
998407.O,2018/09/05,22663.8,22692.25,22570.52,22580.83
998407.O,2018/09/06,22458.97,22535.34,22416.63,22487.94
998407.O,2018/09/07,22351.84,22372.89,22172.9,22307.06
998407.O,2018/09/10,22253.65,22396.88,22249.61,22373.09
998407.O,2018/09/11,22469.78,22667.85,22457.1,22664.69
998407.O,2018/09/12,22702.71,22709.37,22522.17,22604.61
998407.O,2018/09/13,22657.95,22858.41,22643.88,22821.32
998407.O,2018/09/14,23035.78,23105.28,22965.48,23094.67
998407.O,2018/09/18,23042.19,23481.53,23039.26,23420.54
998407.O,2018/09/19,23754.96,23842.05,23672.52,23672.52
998407.O,2018/09/20,23752.79,23781.75,23582.15,23674.93
998407.O,2018/09/21,23848.63,23971.41,23764.05,23869.93
998407.O,2018/09/25,23881.85,23950.98,23808.95,23940.26
998407.O,2018/09/26,23846.6,24033.79,23833.92,24033.79
998407.O,2018/09/27,23946.43,24089.32,23778.04,23796.74
998407.O,2018/09/28,24080.01,24286.1,24021.27,24120.04
