0,22d2a,20180115,1659
202,2198,東証1部,アイ・ケイ・ケイ(株),15:00,819,864.36,-5.25
203,9867,東証JQS,ソレキア(株),13:53,3515,3708.53,-5.22
204,9948,東証1部,(株)アークス,15:00,2433,2566.97,-5.22
205,3744,東証2部,サイオス(株),15:00,661,697.16,-5.19
206,3986,マザーズ,(株)ビーブレイクシステムズ,15:00,3735,3939.60,-5.19
207,7741,東証1部,ＨＯＹＡ(株),15:00,5634,5939.20,-5.14
208,3689,マザーズ,(株)イグニス,15:00,1839,1938.25,-5.12
209,7291,東証1部,日本プラスト(株),15:00,1097,1155.99,-5.10
210,4221,東証1部,大倉工業(株),15:00,697,734.07,-5.05
211,6636,東証JQS,(株)ソルガム・ジャパン・ホールディングス,15:00,207,217.99,-5.04
212,1866,東証1部,北野建設(株),15:00,425,447.45,-5.02
213,3109,東証1部,シキボウ(株),15:00,1426,1501.31,-5.02
214,4355,東証JQS,ロングライフホールディング(株),15:00,524,551.68,-5.02
215,4996,東証1部,クミアイ化学工業(株),15:00,749,788.56,-5.02
216,9787,東証1部,イオンディライト(株),15:00,3975,4185.20,-5.02
217,2440,東証1部,(株)ぐるなび,15:00,1403,1477.01,-5.01
218,7593,東証1部,ＶＴホールディングス(株),15:00,562,591.64,-5.01
219,4471,東証1部,三洋化成工業(株),15:00,5790,6094.53,-5.00
220,3390,東証JQS,ＩＮＥＳＴ(株),15:00,130,136.81,-4.98
221,6647,東証2部,森尾電機(株),14:55,2082,2190.68,-4.96
222,3092,東証1部,(株)スタートトゥデイ,15:00,3250,3418.93,-4.94
223,3542,マザーズ,(株)ベガコーポレーション,14:59,1344,1413.53,-4.92
224,7212,東証1部,(株)エフテック,15:00,1691,1778.49,-4.92
225,9039,東証1部,(株)サカイ引越センター,15:00,5660,5951.87,-4.90
226,3666,東証1部,(株)テクノスジャパン,15:00,953,1001.85,-4.88
227,6085,マザーズ,アーキテクツ・スタジオ・ジャパン(株),10:51,1315,1381.79,-4.83
228,8200,東証1部,(株)リンガーハット,15:00,2394,2515.51,-4.83
229,4829,東証1部,日本エンタープライズ(株),15:00,236,247.95,-4.82
230,1712,東証1部,(株)ダイセキ環境ソリューション,15:00,1334,1401.37,-4.81
231,9990,東証1部,(株)サックスバー　ホールディングス,15:00,1303,1368.48,-4.78
232,1688,東証ETF,ETFS 穀物上場投資信託,12:31,376,394.80,-4.76
233,9428,東証1部,(株)クロップス,15:00,1123,1178.91,-4.74
234,9837,東証1部,モリト(株),15:00,1004,1054.00,-4.74
235,2492,東証1部,(株)インフォマート,15:00,688,722.15,-4.73
236,3690,マザーズ,(株)ロックオン,15:00,1501,1575.32,-4.72
237,8133,東証1部,伊藤忠エネクス(株),15:00,1093,1147.13,-4.72
238,3148,東証1部,(株)クリエイトＳＤホールディングス,15:00,2756,2892.17,-4.71
239,8185,東証1部,(株)チヨダ,15:00,2772,2908.39,-4.69
