date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 90,stddev,-3s,-2s,+2s,+3s,RCI
2017-06-21,815,827,815,825,39700,825,796.1,764.5,749.3,30.8,672.0,702.9,826.1,857.0,81.4
2017-06-22,817,839,817,839,67900,839,803.6,769.9,749.1,31.6,675.1,706.7,833.1,864.7,81.4
2017-06-23,840,849,801,811,119900,811,807.8,773.4,748.6,31.0,680.4,711.4,835.4,866.4,80.7
2017-06-26,805,822,803,812,53400,812,812.8,777.6,747.9,28.6,691.7,720.3,834.9,863.5,79.6
2017-06-27,813,819,804,819,50500,819,818.0,780.7,747.4,28.8,694.4,723.1,838.3,867.0,78.2
2017-06-28,820,845,819,834,124300,834,824.2,783.4,747.0,30.5,691.9,722.4,844.4,874.9,83.0
2017-06-29,834,835,814,814,64300,814,822.2,785.5,745.9,30.8,693.2,724.0,847.0,877.8,84.7
2017-06-30,810,819,806,819,36700,819,821.6,788.0,744.9,30.9,695.4,726.3,849.7,880.6,83.9
2017-07-03,824,824,812,822,26100,822,821.2,790.5,744.0,30.9,697.7,728.6,852.4,883.3,83.3
2017-07-04,828,831,810,810,65700,810,817.6,792.6,743.1,30.4,701.4,731.8,853.4,883.8,80.0
2017-07-05,805,816,796,810,60600,810,817.5,794.4,742.3,30.1,704.2,734.3,854.5,884.6,75.6
2017-07-06,809,811,798,801,48300,801,816.1,796.2,742.7,28.9,709.4,738.3,854.1,883.0,68.9
2017-07-07,801,819,801,818,61600,818,816.0,799.1,743.4,27.3,717.3,744.5,853.7,880.9,63.2
2017-07-10,826,839,819,829,75200,829,815.4,801.9,744.0,26.6,722.2,748.7,855.1,881.6,61.0
2017-07-11,827,858,827,840,135100,840,818.6,805.5,744.3,25.3,729.5,754.9,856.1,881.5,61.0
2017-07-13,846,850,831,833,64100,833,820.4,808.5,744.7,23.9,736.9,760.8,856.2,880.1,59.2
2017-07-14,839,854,836,847,121900,847,823.5,812.1,745.3,22.5,744.5,767.0,857.2,879.7,59.2
2017-07-18,880,939,871,907,1257000,907,835.6,817.4,746.5,28.2,732.7,761.0,873.8,902.1,59.4
2017-07-19,929,931,898,898,404700,898,846.6,822.1,747.6,31.3,728.1,759.4,884.8,916.1,59.8
2017-07-20,889,915,881,915,220500,915,860.9,827.6,749.0,35.1,722.4,757.5,897.7,932.8,60.0
2017-07-21,927,983,921,976,895400,976,880.6,835.8,751.3,44.1,703.4,747.5,924.1,968.2,60.0
2017-07-24,1025,1039,988,998,561700,998,901.8,844.6,753.8,53.1,685.3,738.4,950.8,1003.9,60.0
