0,1w2a,20180105,2036
151,3070,東証JQG,(株)アマガサ,635,7.26 %,43,32800,掲示板
152,6634,東証JQS,(株)ネクスグループ,429,7.25 %,29,345000,掲示板
153,8035,東証1部,東京エレクトロン(株),21875,7.23 %,1475,3442900,掲示板
154,2721,東証JQS,(株)ジェイホールディングス,920,7.23 %,62,53100,掲示板
155,1467,東証ETF,JPX日経400ブル2倍上場投信レバレッジ,13060,7.22 %,880,6710,掲示板
156,3986,マザーズ,(株)ビーブレイクシステムズ,3490,7.22 %,235,34500,掲示板
157,7564,東証JQS,(株)ワークマン,4160,7.22 %,280,28500,掲示板
158,7747,東証2部,朝日インテック(株),4160,7.22 %,280,612400,掲示板
159,1322,東証ETF,上場インデックスファンド中国A株CSI300,5800,7.21 %,390,2770,掲示板
160,4875,東証JQS,メディシノバ,790,7.19 %,53,544700,掲示板
161,4275,東証1部,カーリットホールディングス(株),1324,7.12 %,88,3250300,掲示板
162,6815,東証1部,ユニデンホールディングス(株),317,7.09 %,21,3339000,掲示板
163,9914,東証JQS,(株)植松商会,484,7.08 %,32,8000,掲示板
164,2497,マザーズ,ユナイテッド(株),3935,7.07 %,260,1682500,掲示板
165,6516,東証1部,山洋電気(株),8650,7.05 %,570,112400,掲示板
166,1464,東証ETF,ダイワ上場投信-JPX日経400レバレッジ,13140,7.00 %,860,2303,掲示板
167,4765,東証JQS,モーニングスター(株),414,6.98 %,27,316600,掲示板
168,7003,東証1部,三井造船(株),1805,6.93 %,117,2093300,掲示板
169,7989,東証1部,立川ブラインド工業(株),1559,6.93 %,101,93700,掲示板
170,8614,東証1部,東洋証券(株),340,6.92 %,22,1384000,掲示板
171,6694,東証JQS,(株)ズーム,2957,6.91 %,191,43400,掲示板
172,6914,東証1部,オプテックスグループ(株),6360,6.89 %,410,224600,掲示板
173,1367,東証ETF,ダイワ 上場投信-TOPIXレバレッジ(2倍),17070,6.89 %,1100,10740,掲示板
174,6273,東証1部,ＳＭＣ(株),49570,6.88 %,3190,689100,掲示板
175,4205,東証1部,日本ゼオン(株),1743,6.87 %,112,1825400,掲示板
176,4667,東証JQS,アイサンテクノロジー(株),3505,6.86 %,225,274300,掲示板
177,7483,東証1部,(株)ドウシシャ,2562,6.84 %,164,283400,掲示板
178,3719,東証JQS,(株)ジェクシード,219,6.83 %,14,4145000,掲示板
179,1470,東証ETF,(NEXT FUNDS)JPX日経400レバレッジ,26440,6.83 %,1690,8658,掲示板
180,9133,東証JQS,(株)東栄リーファーライン,689,6.82 %,44,154900,掲示板
181,3059,東証2部,ヒラキ(株),1317,6.81 %,84,60700,掲示板
182,1568,東証ETF,TOPIXブル2倍上場投信,22000,6.80 %,1400,263550,掲示板
183,7879,東証2部,(株)ノダ,1493,6.80 %,95,100000,掲示板
184,6531,マザーズ,リファインバース(株),2958,6.79 %,188,147700,掲示板
185,3956,東証JQS,国際チャート(株),315,6.78 %,20,110400,掲示板
