0,1d2a,20180202,1840,,,,
207,4754,東証JQS,(株)トスネット,1239,2.40,29,34700
208,8028,東証1部,ユニー・ファミリーマートホールディングス(株),7690,2.40,180,800300
209,9734,東証JQS,(株)精養軒,1246,2.38,29,2000
210,9628,東証1部,燦ホールディングス(株),3025,2.37,70,11500
211,6089,東証1部,(株)ウィルグループ,2122,2.36,49,364400
212,6193,マザーズ,バーチャレクス・ホールディングス(株),1170,2.36,27,264500
213,3048,東証1部,(株)ビックカメラ,1742,2.35,40,884800
214,3230,東証1部,スター・マイカ(株),2051,2.35,47,187100
215,1773,東証1部外国,ＹＴＬ,44,2.33,1,40000
216,3355,東証2部,クリヤマホールディングス(株),2854,2.33,65,25300
217,9090,東証1部,(株)丸和運輸機関,4410,2.32,100,173300
218,4628,東証JQS,エスケー化研(株),12000,2.30,270,4000
219,3836,東証2部,(株)アバント,985,2.28,22,40600
220,3250,東証1部,(株)エー・ディー・ワークス,45,2.27,1,33981500
221,8097,東証1部,三愛石油(株),1670,2.27,37,61300
222,5357,東証1部,(株)ヨータイ,678,2.26,15,415100
223,9404,東証1部,日本テレビホールディングス(株),1993,2.26,44,1177700
224,3086,東証1部,Ｊ．フロント　リテイリング(株),2099,2.24,46,2304500
225,2538,東証2部,ジャパン・フード＆リカー・アライアンス(株),46,2.22,1,12358000
226,2127,東証1部,(株)日本Ｍ＆Ａセンター,6940,2.21,150,790800
227,2175,東証1部,(株)エス・エム・エス,4170,2.21,90,359800
228,2915,東証1部,ケンコーマヨネーズ(株),4155,2.21,90,107900
229,3036,東証1部,アルコニックス(株),2680,2.21,58,349200
230,6663,東証JQS,太洋工業(株),787,2.21,17,20100
231,4365,東証JQS,松本油脂製薬(株),12980,2.20,280,300
232,4733,東証1部,(株)オービックビジネスコンサルタント,6490,2.20,140,48300
233,7013,東証1部,(株)ＩＨＩ,3725,2.19,80,2428700
234,9889,東証1部,ＪＢＣＣホールディングス(株),1214,2.19,26,64900
235,2325,東証1部,(株)ＮＪＳ,1641,2.18,35,30600
236,3088,東証1部,(株)マツモトキヨシホールディングス,4695,2.18,100,367800
237,4333,東証1部,(株)東邦システムサイエンス,845,2.18,18,15600
238,5486,東証1部,日立金属(株),1545,2.18,33,2043600
239,2156,東証JQS,セーラー広告(株),379,2.16,8,3000
240,3663,東証2部,アートスパークホールディングス(株),1516,2.16,32,84500
241,4528,東証1部,小野薬品工業(株),2787,2.16,59,3846800
242,1671,東証ETF,WTI原油価格連動型上場投信,2758,2.15,58,239952
243,2208,東証2部,(株)ブルボン,3320,2.15,70,12800
244,3099,東証1部,(株)三越伊勢丹ホールディングス,1376,2.15,29,2286600
245,7621,東証JQS,(株)うかい,3825,2.14,80,12300
246,1647,東証ETF,ダイワ 上場投信･TOPIX-17小売,23040,2.13,480,10
247,3906,マザーズ,(株)ＡＬＢＥＲＴ,1440,2.13,30,101800
248,4963,東証1部,星光ＰＭＣ(株),1248,2.13,26,126000
249,6184,東証1部,(株)鎌倉新書,2447,2.13,51,78000
250,9831,東証1部,(株)ヤマダ電機,671,2.13,14,9417900
251,3091,東証1部,(株)ブロンコビリー,3615,2.12,75,66800
252,3915,マザーズ,(株)テラスカイ,8680,2.12,180,2400
253,6027,マザーズ,弁護士ドットコム(株),1882,2.12,39,531400
254,4044,東証1部,セントラル硝子(株),2527,2.10,52,371400
255,4912,東証1部,ライオン(株),2093,2.10,43,1196200
256,6822,東証JQS,大井電気(株),389,2.10,8,35000
257,6195,マザーズ,(株)ホープ,1273,2.09,26,3700
258,4568,東証1部,第一三共(株),3930,2.08,80,3966900
259,6454,東証1部,マックス(株),1580,2.07,32,56000
260,7309,東証1部,(株)シマノ,16250,2.07,330,456500
261,8249,東証2部,(株)テクノアソシエ,1429,2.07,29,5800
262,1904,東証JQS,大成温調(株),2128,2.06,43,6300
263,7995,東証1部,日本バルカー工業(株),3475,2.06,70,106000
264,9792,東証1部,(株)ニチイ学館,1484,2.06,30,215400
265,2594,東証1部,キーコーヒー(株),2188,2.05,44,73400
266,7709,東証1部,クボテック(株),596,2.05,12,61900
267,7412,東証2部,(株)アトム,952,2.04,19,328200
268,4362,東証1部,日本精化(株),1307,2.03,26,46300
269,8133,東証1部,伊藤忠エネクス(株),1061,2.02,21,305200
270,3113,東証2部,Ｏａｋ　キャピタル(株),407,2.01,8,6199500
271,9479,東証1部,(株)インプレスホールディングス,203,2.01,4,980700
272,4792,東証JQS,山田コンサルティンググループ(株),3575,2.00,70,69000
273,6188,東証JQS,富士ソフトサービスビューロ(株),717,1.99,14,24500
274,6644,東証1部,大崎電気工業(株),872,1.99,17,820800
275,3361,東証1部,(株)トーエル,1081,1.98,21,11100
276,4290,東証1部,(株)プレステージ・インターナショナル,1508,1.96,29,371400
277,6540,東証1部,(株)船場,1350,1.96,26,44500
278,1699,東証ETF,(NEXT FUNDS)NOMURA原油インデックス上場,421,1.94,8,979470
279,2170,東証1部,(株)リンクアンドモチベーション,1001,1.93,19,1443000
280,1360,東証ETF,日経平均ベア2倍上場投信,2923,1.92,55,1300810
281,2337,東証1部,いちご(株),477,1.92,9,2891900
282,9906,東証JQS,藤井産業(株),1855,1.92,35,6300
283,6222,東証1部,(株)島精機製作所,7510,1.90,140,282700
284,8334,東証1部,(株)群馬銀行,700,1.89,13,2676200
285,9678,東証1部,(株)カナモト,3500,1.89,65,299100
286,1575,東証ETF,ChinaAMC CSI 300 Index ETF-JDR,759,1.88,14,30
287,2533,東証1部,オエノンホールディングス(株),436,1.87,8,672500
288,6928,東証2部,(株)エノモト,2068,1.87,38,66900
289,6758,東証1部,ソニー(株),5485,1.86,100,14337200
290,1459,東証ETF,楽天 ETF-日経ダブルインバース指数連動型,4690,1.85,85,490217
291,3064,東証1部,(株)ＭｏｎｏｔａＲＯ,3580,1.85,65,709800
292,6349,東証1部,(株)小森コーポレーション,1485,1.85,27,214100
293,6369,東証1部,トーヨーカネツ(株),4395,1.85,80,43000
294,9260,東証1部,西本Ｗｉｓｍｅｔｔａｃホールディングス(株),4675,1.85,85,27600
295,9903,東証JQS,(株)カンセキ,1320,1.85,24,1400
296,3591,東証1部,(株)ワコールホールディングス,3325,1.84,60,154700
297,1879,東証1部,新日本建設(株),1055,1.83,19,137200
298,5189,東証2部,櫻護謨(株),558,1.82,10,22000
299,8729,東証1部,ソニーフィナンシャルホールディングス(株),2070,1.82,37,1753000
300,1899,東証1部,(株)福田組,6740,1.81,120,11100
