Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
3769,ＧＭＯペイメントゲートウェイ　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0073,273722,2018-08-07 00:00:00,0.0074
3773,アドバンスト・メディア　普通株式,Nomura International plc,2018-08-08,0.0116,210600,2018-08-07 00:00:00,0.0159
3825,リミックスポイント　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0204,1168200,2018-08-07 00:00:00,0.018600000000000002
3842,ネクストジェン　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0049,10100,2018-08-03 00:00:00,0.005
3845,アイフリークモバイル　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0195,313000,2018-08-06 00:00:00,0.0216
3852,サイバーコム　普通株式,Nomura International plc,2018-08-08,0.0076,61600,2018-08-07 00:00:00,0.0088
3853,インフォテリア　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0177,310991,2018-08-03 00:00:00,0.018000000000000002
3853,インフォテリア　普通株式,Nomura International plc,2018-08-08,0.0173,302700,2018-08-07 00:00:00,0.0151
3853,インフォテリア　普通株式,UBS AG,2018-08-08,0.0069,122000,2018-08-06 00:00:00,0.0068
3858,ユビキタスＡＩコーポレーション　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0095,100003,2018-08-02 00:00:00,0.0104
3858,ユビキタスＡＩコーポレーション　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0076,79800,2018-08-07 00:00:00,0.0076
3863,日本製紙　普通株式,"Blue Mountain Credit Alternatives Master Fund, L.P.",2018-08-09,0.0049,565205,2018-07-18 00:00:00,0.0051
3900,クラウドワークス　普通株式,UBS AG,2018-08-08,0.0128,184300,2018-08-07 00:00:00,0.0129
3901,マークラインズ　普通株式,三菱ＵＦＪモルガン・スタンレー証券株式会社,2018-08-09,0.0121,159500,2018-08-08 00:00:00,0.0112
3904,カヤック　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0058,87700,2018-08-07 00:00:00,0.006
3905,データセクション　普通株式,"JANE STREET GLOBAL TRADING, LLC",2018-08-08,0.0072,84100,2018-08-06 00:00:00,0.006500000000000001
3905,データセクション　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0084,97000,2018-08-07 00:00:00,0.0084
3906,ＡＬＢＥＲＴ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.006500000000000001,18300,2018-08-07 00:00:00,0.006500000000000001
3913,ｓＭｅｄｉｏ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0064,12900,2018-08-07 00:00:00,0.0064
3917,アイリッジ　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.005,32900,2018-08-03 00:00:00,0.0049
3927,アークン　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0051,23000,2018-08-06 00:00:00,0.0069
3927,アークン　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0144,64500,2018-08-07 00:00:00,0.015
3927,アークン　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0054,23900,2018-08-07 00:00:00,0.0054
3930,はてな　普通株式,ＳＭＢＣ日興証券株式会社,2018-08-09,0.0163,46600,2018-07-26 00:00:00,0.0142
3932,アカツキ　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.006,83123,2018-08-07 00:00:00,0.005600000000000001
3935,エディア　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.018500000000000003,88900,2018-08-07 00:00:00,0.0209
3965,キャピタル・アセット・プランニング　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0052,13600,2018-08-07 00:00:00,0.0052
3967,エルテス　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0068,35100,2018-08-07 00:00:00,0.0068
3981,ビーグリー　普通株式,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店",2018-08-08,0.0048,29800,2018-08-06 00:00:00,0.0051
3989,シェアリングテクノロジー　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0052,96600,2018-08-07 00:00:00,0.0040999999999999995
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0053,69643,2018-07-10 00:00:00,0.0037
3998,すららネット　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.005,6300,2018-08-07 00:00:00,0.0044
3998,すららネット　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.0079,10000,2018-08-08 00:00:00,0.006
4004,昭和電工　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0088,1332177,2018-08-07 00:00:00,0.0086
4028,石原産業　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-08-09,0.005,203832,2018-08-01 00:00:00,0.0045000000000000005
4043,トクヤマ　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.005,354991,2018-08-01 00:00:00,0.0040999999999999995
