区分,学生番号,枝番,日付,時刻,端末番号
01,212C2071,1,20231102,102042,029
01,212C3051,1,20231102,102202,029
01,182C2046,2,20231102,102809,029
01,212C3002,1,20231102,103004,029
02,236E0064,1,20231102,161126,029
02,236E0014,1,20231102,161405,029
02,236E0012,1,20231102,161839,029
02,236E0021,1,20231102,161843,029
01,222C1021,1,20231104,102256,029
01,192C3004,2,20231104,102319,029
01,222C1021,1,20231104,124605,029
01,222C2103,1,20231104,125539,029
01,222C1029,1,20231104,125542,029
01,212C2039,1,20231104,143150,029
01,212C3118,1,20231104,143516,029
01,192C3125,2,20231104,143726,029
01,222C1029,1,20231104,143834,029
01,222C2089,1,20231106,124530,029
01,222C2016,1,20231106,124645,029
01,222C2015,2,20231106,124556,029
01,222C2036,1,20231106,125632,029
01,222C2084,1,20231106,124347,029
01,222C2079,1,20231106,125142,029
01,222C2035,1,20231106,125636,029
01,222C2009,2,20231106,130054,029
01,222C2014,1,20231106,124525,029
01,222C2002,1,20231106,124634,029
01,222C2071,1,20231106,125817,029
01,222C2097,1,20231106,124616,029
01,222C2050,1,20231106,124639,029
01,222C2075,1,20231106,125307,029
01,222C2100,1,20231106,124631,029
01,222C2024,1,20231106,125150,029
01,222C2102,1,20231106,125758,029
01,222C2007,1,20231106,125045,029
01,222C2083,1,20231106,125305,029
01,222C2079,1,20231106,125144,029
01,212C2071,1,20231107,102238,029
01,212C3013,1,20231107,102338,029
02,236E0021,1,20231107,125936,029
02,236E0012,1,20231107,125940,029
02,236E0064,1,20231107,125156,029
01,222C2056,1,20231108,102121,029
01,222C2014,1,20231108,102231,029
01,222C2083,1,20231108,102732,029
01,222C2089,1,20231108,102155,029
01,222C2019,1,20231108,103938,029
01,222C2079,1,20231108,102759,029
01,222C2100,1,20231108,102311,029
01,212C2033,1,20231108,102352,029
01,222C2050,1,20231108,102145,029
01,222C2073,1,20231108,102256,029
01,222C2070,1,20231108,102348,029
01,232C1049,1,20231108,125138,029
01,232C1087,1,20231108,125206,029
01,232C1039,1,20231108,125945,029
01,232C1177,1,20231108,124633,029
01,232C1093,1,20231108,125133,029
01,232C1013,1,20231108,125135,029
01,232C1051,1,20231108,125201,029
01,232C1177,1,20231108,125752,029
01,232C1161,1,20231108,124713,029
01,232C1153,1,20231108,125117,029
01,232C1163,1,20231108,125247,029
01,232C1037,1,20231108,125254,029
