date,code,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2016-04-27,998405,1391.68,1395.58,1379.68,1384.3,1378.5,1337.0,1347.6,1357.2,1357.2,47.4,1194.9,1242.2,1431.8,1479.1,73.2
2016-04-28,998405,1396.65,1404.78,1339.28,1340.55,1381.0,1336.2,1347.3,1357.0,1357.0,47.2,1194.7,1241.8,1430.6,1477.7,73.4
2016-05-02,998405,1316.57,1316.61,1289.49,1299.96,1373.2,1334.0,1345.5,1356.3,1356.3,47.8,1190.7,1238.5,1429.5,1477.3,68.2
2016-05-06,998405,1305.4,1309.3,1289.01,1298.32,1364.7,1333.8,1343.1,1355.6,1355.6,47.9,1190.2,1238.1,1429.5,1477.4,58.1
2016-05-09,998405,1308.11,1313.25,1302.9,1306.66,1353.9,1334.0,1341.2,1355.1,1355.1,47.7,1190.8,1238.5,1429.5,1477.2,52.6
2016-05-10,998405,1310.92,1337.15,1307.31,1334.9,1344.8,1337.2,1340.4,1354.8,1354.8,45.3,1201.3,1246.6,1427.8,1473.1,41.4
2016-05-11,998405,1347.95,1353.03,1330.98,1334.3,1336.3,1340.3,1339.7,1354.6,1354.6,42.5,1212.9,1255.4,1425.2,1467.7,28.7
2016-05-12,998405,1321.8,1338.47,1316.92,1337.27,1329.5,1343.4,1339.5,1354.4,1354.4,39.5,1224.8,1264.3,1422.5,1462.0,14.8
2016-05-13,998405,1343.48,1343.48,1319.39,1320.19,1321.5,1345.0,1338.0,1354.0,1354.0,37.8,1231.5,1269.3,1420.7,1458.5,-3.4
2016-05-16,998405,1318.15,1333.82,1317.14,1321.65,1319.2,1347.0,1336.8,1353.6,1353.6,35.3,1241.2,1276.5,1417.5,1452.8,-23.5
2016-05-17,998405,1330.52,1335.98,1324.81,1335.85,1323.6,1348.7,1336.2,1351.7,1353.4,33.7,1247.7,1281.4,1416.0,1449.7,-39.9
2016-05-18,998405,1333.59,1349.27,1327.33,1338.38,1328.6,1349.0,1335.4,1349.8,1353.3,33.5,1248.4,1281.9,1416.1,1449.6,-48.7
2016-05-19,998405,1349.3,1352.57,1332.09,1336.56,1332.4,1347.3,1334.1,1348.1,1353.1,33.2,1247.6,1280.8,1413.8,1447.0,-44.4
2016-05-20,998405,1331.97,1345.25,1329.84,1343.4,1333.4,1346.5,1333.1,1346.8,1353.0,33.1,1247.2,1280.3,1412.7,1445.8,-36.2
2016-05-23,998405,1337.55,1339.44,1319.62,1338.68,1334.0,1347.4,1332.6,1345.6,1352.8,32.6,1249.6,1282.2,1412.6,1445.2,-49.6
2016-05-24,998405,1334.11,1334.19,1324.49,1326.5,1332.7,1345.6,1331.9,1344.7,1352.6,32.7,1247.5,1280.2,1411.0,1443.7,-46.0
2016-05-25,998405,1345.43,1348.78,1341.97,1342.88,1335.5,1344.5,1333.2,1343.6,1352.5,32.4,1247.4,1279.8,1409.2,1441.6,-32.7
2016-05-26,998405,1355.73,1357.47,1340.74,1342.87,1338.1,1342.1,1334.3,1342.9,1352.4,30.3,1251.1,1281.4,1402.8,1433.1,-16.1
2016-05-27,998405,1347.68,1352.39,1344.17,1349.93,1339.9,1339.4,1336.7,1342.3,1352.3,26.5,1259.9,1286.4,1392.4,1418.9,3.8
2016-05-30,998405,1359.48,1366.53,1353.37,1366.01,1343.4,1337.7,1339.6,1342.1,1352.5,23.2,1268.0,1291.3,1384.1,1407.4,26.0
2016-05-31,998405,1362.63,1380.88,1359.87,1379.8,1348.8,1337.1,1342.8,1342.0,1352.7,21.9,1271.3,1293.2,1381.0,1402.9,50.6
2016-06-01,998405,1369.96,1374.37,1358.05,1362.07,1351.1,1336.0,1345.0,1342.2,1352.8,20.0,1276.0,1296.0,1376.0,1396.0,77.5
2016-06-02,998405,1351.75,1351.75,1329.53,1331.81,1350.2,1335.6,1346.5,1342.6,1352.6,20.0,1275.6,1295.6,1375.6,1395.6,74.2
2016-06-03,998405,1333.42,1341.81,1330.29,1337.23,1351.6,1337.4,1347.6,1342.1,1352.5,18.3,1282.6,1300.9,1373.9,1392.2,64.7
2016-06-06,998405,1317.33,1332.51,1311.96,1332.43,1350.3,1339.0,1347.6,1341.5,1352.3,16.0,1291.1,1307.0,1371.0,1386.9,45.5
2016-06-07,998405,1336.29,1342.47,1330.29,1340.77,1350.0,1340.6,1346.7,1341.2,1352.2,14.2,1298.1,1312.3,1368.9,1383.1,38.8
2016-06-08,998405,1344.07,1350.97,1332.61,1350.97,1350.1,1341.4,1346.4,1340.7,1352.2,14.3,1298.6,1312.9,1369.9,1384.2,43.5
2016-06-09,998405,1343.96,1347.32,1332.19,1337.41,1346.6,1341.6,1346.9,1340.1,1352.0,14.2,1299.0,1313.2,1370.0,1384.2,37.1
2016-06-10,998405,1335.81,1335.93,1321.9,1330.72,1340.4,1341.2,1346.0,1338.9,1351.8,14.4,1298.1,1312.5,1369.9,1384.3,25.3
2016-06-13,998405,1307.97,1308.57,1284.54,1284.54,1330.7,1339.5,1343.6,1336.9,1351.2,18.5,1284.0,1302.5,1376.5,1395.0,-1.9
2016-06-14,998405,1279.46,1288.24,1264.65,1271.93,1323.3,1337.2,1340.0,1334.9,1350.5,23.4,1266.9,1290.3,1384.1,1407.5,-26.6
2016-06-15,998405,1267.58,1284.86,1263.89,1277.11,1315.7,1334.4,1336.2,1333.5,1349.8,26.9,1253.8,1280.7,1388.1,1415.0,-42.3
2016-06-16,998405,1273.29,1275.92,1238.37,1241.56,1304.4,1329.8,1331.4,1331.8,1348.9,33.6,1229.0,1262.6,1397.0,1430.6,-52.6
2016-06-17,998405,1256.85,1264.11,1248.66,1250.83,1293.1,1325.7,1327.3,1330.5,1348.0,37.7,1212.6,1250.3,1401.1,1438.8,-64.8
2016-06-20,998405,1269.81,1283.93,1268.65,1279.19,1284.2,1322.6,1324.2,1329.3,1347.4,38.8,1206.3,1245.1,1400.1,1438.9,-68.6
2016-06-21,998405,1269.96,1296.67,1262.97,1293.9,1278.7,1320.5,1322.8,1329.2,1346.9,39.1,1203.3,1242.4,1398.6,1437.7,-72.3
2016-06-22,998405,1289.87,1291.42,1277.96,1284.61,1273.0,1318.5,1322.4,1329.4,1346.4,39.8,1199.1,1238.9,1398.1,1437.9,-80.6
2016-06-23,998405,1285.72,1300.65,1282.06,1298.71,1274.7,1316.4,1322.4,1330.6,1346.0,39.6,1197.5,1237.1,1395.7,1435.3,-79.1
2016-06-24,998405,1307.84,1309.08,1192.8,1204.48,1266.3,1309.8,1319.4,1329.6,1344.8,46.0,1171.8,1217.8,1401.8,1447.8,-81.6
2016-06-27,998405,1216.7,1227.16,1212.24,1225.76,1259.9,1303.9,1316.2,1328.8,1343.8,48.5,1158.4,1206.9,1400.9,1449.4,-83.2
2016-06-28,998405,1208.57,1233.65,1198.57,1224.62,1257.8,1297.2,1313.0,1328.2,1342.8,49.3,1149.4,1198.7,1395.7,1445.0,-83.1
2016-06-29,998405,1241.27,1251.92,1232.41,1247.69,1257.4,1290.9,1310.3,1327.4,1342.0,46.5,1151.3,1197.8,1384.0,1430.5,-81.2
2016-06-30,998405,1262.42,1264.4,1245.82,1245.82,1253.2,1285.3,1308.1,1326.9,1341.2,44.5,1151.8,1196.3,1374.3,1418.8,-78.7
2016-07-01,998405,1254.87,1260.54,1248.49,1254.44,1248.3,1281.7,1306.2,1326.4,1340.5,43.7,1150.7,1194.4,1369.0,1412.7,-76.0
2016-07-04,998405,1248.5,1263.5,1246.75,1261.97,1245.4,1278.1,1304.0,1326.1,1339.9,41.9,1152.3,1194.2,1362.0,1403.9,-71.4
2016-07-05,998405,1256.87,1259.07,1249.56,1256.64,1240.2,1274.5,1301.6,1325.8,1339.2,40.2,1153.8,1194.0,1355.0,1395.2,-65.5
2016-07-06,998405,1237.33,1238.09,1218.14,1234.2,1243.9,1269.4,1298.6,1325.0,1338.4,38.1,1155.0,1193.1,1345.7,1383.8,-62.9
2016-07-07,998405,1230.78,1238.49,1222.7,1226.09,1243.9,1263.4,1295.1,1324.0,1337.5,34.3,1160.5,1194.8,1332.0,1366.3,-59.7
2016-07-08,998405,1228.97,1234.14,1209.88,1209.88,1242.1,1257.4,1291.3,1323.0,1336.5,31.8,1162.1,1193.9,1320.9,1352.7,-58.4
2016-07-11,998405,1231.26,1263.71,1231.07,1255.79,1243.1,1253.8,1289.3,1322.5,1335.9,26.9,1173.0,1199.9,1307.7,1334.6,-46.8
2016-07-12,998405,1276.12,1297.49,1275.16,1285.73,1248.1,1253.9,1287.6,1321.8,1335.5,27.0,1172.8,1199.9,1307.9,1335.0,-25.8
2016-07-13,998405,1305.84,1314.91,1297.28,1300.26,1253.8,1255.2,1286.3,1321.0,1335.2,28.6,1169.3,1197.9,1312.5,1341.1,-4.2
2016-07-14,998405,1301.13,1312.43,1299.53,1311.16,1260.0,1256.8,1285.2,1320.3,1335.0,30.8,1164.4,1195.2,1318.4,1349.2,15.7
2016-07-15,998405,1315.43,1325.64,1310.26,1317.1,1267.5,1260.4,1283.7,1319.8,1334.9,33.3,1160.6,1193.9,1326.9,1360.2,24.3
2016-07-19,998405,1326.06,1331.39,1316.38,1331.39,1279.7,1264.3,1282.3,1319.6,1334.9,36.6,1154.6,1191.2,1337.4,1374.0,34.3
2016-07-20,998405,1325.92,1331.32,1319.07,1330.75,1292.8,1266.7,1281.4,1319.6,1334.8,39.3,1148.9,1188.2,1345.2,1384.5,49.0
2016-07-21,998405,1344.4,1347.24,1332.74,1339.39,1308.9,1268.9,1281.6,1319.4,1334.9,42.0,1142.9,1184.9,1352.9,1394.9,64.3
2016-07-22,998405,1322.1,1330.9,1321.27,1327.51,1317.9,1270.9,1281.3,1319.1,1334.8,43.8,1139.5,1183.3,1358.5,1402.3,75.2
