code,date,open,high,low,close
998405,2017/03/21,1560.62,1565.92,1555.96,1563.42
998405,2017/03/22,1540.26,1541.28,1530.1,1530.2
998405,2017/03/23,1528.46,1531.73,1523.11,1530.41
998405,2017/03/24,1530.05,1547.95,1529.57,1543.92
998405,2017/03/27,1529.26,1531.59,1519.81,1524.39
998405,2017/03/28,1537.5,1544.83,1536.08,1544.83
998405,2017/03/29,1544.18,1545.6,1538.38,1542.07
998405,2017/03/30,1537.76,1541.17,1526.77,1527.59
998405,2017/03/31,1537.3,1539.7,1512.6,1512.6
998405,2017/04/03,1518.9,1523.59,1512.46,1517.03
998405,2017/04/04,1513.27,1513.84,1495.52,1504.54
998405,2017/04/05,1509.9,1513.44,1497.94,1504.66
998405,2017/04/06,1496.74,1499.59,1476.77,1480.18
998405,2017/04/07,1491.14,1498.54,1478.17,1489.77
998405,2017/04/10,1500.55,1503.7,1496.16,1499.65
998405,2017/04/11,1492.3,1496.78,1488.84,1495.1
998405,2017/04/12,1482.41,1483.41,1472.37,1479.54
998405,2017/04/13,1465.97,1471.1,1459.0,1468.31
998405,2017/04/14,1466.79,1466.79,1456.18,1459.07
998405,2017/04/17,1452.15,1465.98,1452.15,1465.69
998405,2017/04/18,1477.34,1480.79,1468.62,1471.53
998405,2017/04/19,1464.18,1475.47,1463.95,1471.42
998405,2017/04/20,1473.15,1480.46,1471.66,1472.81
998405,2017/04/21,1485.64,1491.24,1482.79,1488.58
998405,2017/04/24,1507.8,1508.48,1500.88,1503.19
998405,2017/04/25,1502.43,1521.62,1502.43,1519.21
998405,2017/04/26,1529.96,1537.41,1527.27,1537.41
998405,2017/04/27,1531.91,1538.7,1531.4,1536.67
998405,2017/04/28,1536.38,1538.89,1528.71,1531.8
998405,2017/05/01,1531.45,1540.03,1530.31,1539.77
998405,2017/05/02,1542.57,1552.83,1542.55,1550.3
998405,2017/05/08,1569.15,1587.23,1568.83,1585.86
998405,2017/05/09,1585.77,1586.83,1580.12,1581.77
998405,2017/05/10,1584.38,1587.82,1582.09,1585.19
998405,2017/05/11,1587.61,1588.84,1581.9,1586.86
998405,2017/05/12,1585.16,1585.16,1574.31,1580.71
998405,2017/05/15,1572.11,1580.0,1571.69,1580.0
998405,2017/05/16,1587.79,1590.7,1580.46,1584.23
998405,2017/05/17,1575.77,1577.65,1572.37,1575.82
998405,2017/05/18,1554.25,1558.91,1547.99,1555.01
998405,2017/05/19,1557.72,1562.08,1549.91,1559.73
998405,2017/05/22,1566.64,1568.84,1562.05,1567.65
998405,2017/05/23,1566.4,1570.44,1563.37,1565.22
998405,2017/05/24,1577.65,1578.22,1570.91,1575.11
998405,2017/05/25,1573.94,1582.66,1572.6,1578.42
998405,2017/05/26,1577.24,1577.57,1569.29,1569.42
998405,2017/05/29,1569.93,1575.05,1566.41,1570.21
998405,2017/05/30,1569.8,1573.44,1562.78,1572.67
998405,2017/05/31,1568.22,1571.4,1565.25,1568.37
998405,2017/06/01,1570.47,1587.61,1570.24,1586.14
998405,2017/06/02,1594.61,1613.18,1593.94,1612.2
998405,2017/06/05,1605.39,1612.91,1602.39,1609.97
998405,2017/06/06,1606.6,1608.93,1594.88,1596.44
998405,2017/06/07,1594.42,1599.5,1591.2,1597.09
998405,2017/06/08,1602.53,1603.08,1589.51,1590.41
998405,2017/06/09,1589.66,1598.2,1585.22,1591.66
998405,2017/06/12,1588.35,1595.61,1586.28,1591.55
998405,2017/06/13,1589.08,1597.08,1588.72,1593.51
998405,2017/06/14,1599.34,1601.54,1591.77,1591.77
998405,2017/06/15,1586.99,1598.03,1581.68,1588.09
998405,2017/06/16,1595.51,1602.91,1591.62,1596.04
998405,2017/06/19,1597.21,1607.47,1596.09,1606.07
998405,2017/06/20,1619.49,1625.05,1617.25,1617.25
998405,2017/06/21,1614.73,1617.35,1608.84,1611.56
998405,2017/06/22,1612.71,1616.29,1610.38,1610.38
998405,2017/06/23,1612.35,1613.08,1607.67,1611.34
998405,2017/06/26,1611.29,1616.07,1610.46,1612.21
998405,2017/06/27,1618.63,1620.41,1615.71,1619.02
998405,2017/06/28,1616.03,1623.05,1613.01,1614.37
998405,2017/06/29,1626.37,1627.54,1620.7,1624.07
998405,2017/06/30,1611.08,1612.51,1604.82,1611.9
998405,2017/07/03,1613.65,1616.82,1610.87,1614.41
998405,2017/07/04,1625.18,1625.87,1605.4,1609.7
998405,2017/07/05,1608.56,1618.77,1602.47,1618.63
998405,2017/07/06,1618.03,1619.27,1611.82,1615.53
998405,2017/07/07,1604.22,1614.57,1603.89,1607.06
998405,2017/07/10,1617.38,1619.95,1611.54,1615.48
998405,2017/07/11,1616.04,1627.79,1615.0,1627.14
998405,2017/07/12,1622.62,1623.78,1616.59,1619.34
998405,2017/07/13,1625.43,1626.23,1615.81,1619.11
998405,2017/07/14,1623.79,1628.61,1621.83,1625.48
998405,2017/07/18,1621.21,1621.54,1610.79,1620.48
998405,2017/07/19,1616.85,1623.7,1614.9,1621.87
998405,2017/07/20,1623.9,1634.96,1622.78,1633.01
998405,2017/07/21,1629.35,1631.64,1628.06,1629.99
998405,2017/07/24,1619.23,1624.12,1613.08,1621.57
998405,2017/07/25,1621.42,1625.14,1616.94,1617.07
998405,2017/07/26,1628.2,1628.46,1617.39,1620.88
998405,2017/07/27,1620.39,1636.53,1619.46,1626.84
998405,2017/07/28,1624.22,1625.2,1617.62,1621.22
998405,2017/07/31,1618.99,1624.86,1616.49,1618.61
998405,2017/08/01,1619.13,1628.84,1618.5,1628.5
998405,2017/08/02,1635.0,1638.61,1629.24,1634.38
998405,2017/08/03,1634.03,1635.26,1627.72,1633.82
998405,2017/08/04,1628.96,1633.38,1626.7,1631.45
998405,2017/08/07,1640.47,1642.34,1637.34,1639.27
998405,2017/08/08,1640.56,1641.75,1631.61,1635.32
998405,2017/08/09,1630.15,1632.19,1610.46,1617.9
998405,2017/08/10,1619.64,1623.75,1612.54,1617.25
998405,2017/08/14,1602.18,1607.33,1596.4,1599.06
998405,2017/08/15,1611.94,1622.26,1609.83,1616.21
998405,2017/08/16,1616.03,1619.47,1614.0,1616.0
998405,2017/08/17,1614.62,1618.41,1612.48,1614.82
998405,2017/08/18,1595.85,1600.6,1592.23,1597.36
998405,2017/08/21,1601.02,1601.02,1592.28,1595.19
998405,2017/08/22,1594.34,1600.24,1593.31,1596.12
998405,2017/08/23,1610.79,1611.06,1598.44,1600.05
998405,2017/08/24,1595.89,1601.17,1592.2,1592.2
998405,2017/08/25,1596.04,1600.89,1593.09,1596.99
998405,2017/08/28,1600.7,1603.78,1595.03,1600.12
998405,2017/08/29,1589.29,1598.85,1589.05,1597.76
998405,2017/08/30,1606.15,1611.66,1601.14,1607.65
