date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI,RCI
2017/5/22,591,592,584,589,13900,589,581.6,526.8,542.2,29,439.9,468.9,584.7,613.7,581,81
2017/5/23,586,591,582,582,20100,582,580.6,529.5,542.2,30.8,437,467.8,591.2,622,586.4,86.4
2017/5/24,589,590,582,587,11900,587,583.6,532.5,542.3,32.7,434.4,467.1,597.9,630.6,590.8,90.8
2017/5/25,583,589,580,585,16200,585,585.2,535.4,542.2,34,433.4,467.4,603.4,637.4,594.2,94.2
2017/5/26,585,585,572,578,16800,578,584.2,538.2,542.1,34.5,434.7,469.2,607.2,641.7,593.9,93.9
2017/5/29,578,580,575,580,9100,580,582.4,541.4,542,34.6,437.6,472.2,610.6,645.2,591.7,91.7
2017/5/30,580,593,580,590,22900,590,584,544.8,542.1,35,439.9,474.9,614.7,649.7,591.7,91.7
2017/5/31,590,615,590,612,64300,612,589,549.2,542.5,36.4,440.1,476.5,621.9,658.3,591.7,91.7
2017/6/1,615,625,604,605,65400,605,593,553,543.1,37.1,441.8,478.9,627.1,664.2,592.6,92.6
2017/6/2,601,665,600,665,131900,665,610.4,559.3,544.9,42,433.2,475.2,643.4,685.4,592.8,92.8
2017/6/5,684,725,670,704,321700,704,635.2,567,547.7,49.8,417.6,467.4,666.6,716.4,593.3,93.3
2017/6/6,689,701,640,641,137800,641,645.4,572.3,549.2,50.3,421.3,471.6,673,723.3,593.2,93.2
2017/6/7,633,670,627,670,81100,670,657,578.8,551.6,52,422.7,474.7,682.9,734.9,593,93
2017/6/8,667,667,651,655,51500,655,667,584.6,553.6,52.1,428.2,480.3,688.9,741,592.4,92.4
2017/6/9,653,661,644,647,20800,647,663.4,589.9,555.6,51.5,435.5,487,692.8,744.3,591.5,91.5
2017/6/14,670,758,669,758,672400,758,674.2,599.5,559.9,59.3,421.6,480.9,718.1,777.4,591.5,91.5
2017/6/15,731,780,708,750,806900,750,696,608.7,563.9,64.1,416.5,480.5,736.9,800.9,591.4,91.4
2017/6/16,765,770,721,725,335500,725,707,616.8,567.4,65.5,420.4,485.8,747.8,813.2,591.2,91.2
2017/6/19,710,716,685,691,208700,691,714.2,623.5,570.2,64.1,431.1,495.3,751.7,815.9,590.1,90.1
2017/6/20,698,770,696,743,304600,743,733.4,632.2,574.1,65.1,436.8,502,762.4,827.6,589.5,89.5
2017/6/21,743,745,713,745,103700,745,730.8,640.8,578.2,65.1,445.4,510.6,771,836.2,588.8,88.8
2017/6/22,760,760,725,729,64300,729,726.6,646.5,582,66.4,447.3,513.7,779.3,845.7,590.9,90.9
2017/6/23,720,732,691,702,117200,702,722,651.7,585.3,65.4,455.5,520.9,782.5,847.9,588.2,88.2
2017/6/26,705,722,704,710,47100,710,725.8,657,589.1,64.5,463.6,528,786,850.4,585.8,85.8
2017/6/27,724,724,696,696,37900,696,716.4,661.6,592.7,63,472.5,535.6,787.6,850.7,582.8,82.8
2017/6/28,700,704,663,663,112900,663,700,664.5,595.7,61.2,481,542.1,786.9,848,576.3,76.3
2017/6/29,671,685,664,684,36100,684,691,668.6,599.1,58.8,492.2,551,786.2,845,570.6,70.6
2017/6/30,672,697,661,687,43900,687,688,672.6,602.5,56.4,503.5,559.9,785.3,841.7,564,64
2017/7/3,705,709,680,687,24700,687,683.4,676.7,606,53.4,516.6,569.9,783.5,836.8,556.2,56.2
2017/7/4,685,685,650,662,53100,662,676.6,680,609.1,49.4,531.8,581.2,778.8,828.2,543.8,43.8
2017/7/5,667,674,648,670,39500,670,678,683.6,612.5,44.9,549,593.8,773.4,818.2,532.2,32.2
2017/7/6,670,675,655,659,26600,659,673,686.4,615.6,40.8,563.9,604.8,768,808.9,516.9,16.9
