6166.T,,,,,,,,,,,,,,,,,
['../yfseries/6166.T-20170101-20171229.csv', '../yfseries/6166.T-20180101-20181229.csv'],,,,,,,,,,,,,-2,-1,1,2
日付,始値,高値,安値,終値,出来高,修正後終値,m.avr.5,m.avr.21,m.avr.55,m.vwavr.5,m.vwavr.21,m.vwavr.55,vw.stddev. 21,-2σ,-1σ,+1σ,+2σ
2017/9/5,4185,4350,3690,3765,674300,3765,4041,3414,2887.9,4030.9,3730.2,3079.2,429.9,2870.4,3300.3,4160.1,4590
2017/9/6,3640,3925,3570,3885,447600,3885,4017,3482.4,2922.5,4006.7,3765.8,3103.7,379.1,3007.6,3386.7,4144.9,4524
2017/9/7,3955,4100,3745,3805,383500,3805,3982,3549.2,2955.5,3978.2,3779.5,3123.9,350.2,3079.1,3429.3,4129.7,4479.9
2017/9/8,3775,3925,3740,3840,218900,3840,3896,3616.5,2989.1,3882.8,3789.9,3139.3,329.3,3131.3,3460.6,4119.2,4448.5
2017/9/11,3945,4165,3900,4140,338800,4140,3887,3697,3025.5,3868,3810.3,3192.4,312.7,3184.9,3497.6,4123,4435.7
2017/9/12,4215,4480,4190,4250,544200,4250,3984,3777.4,3062.2,4011.5,3847.5,3240.9,290.6,3266.3,3556.9,4138.1,4428.7
2017/9/13,4390,4530,4310,4500,443800,4500,4107,3870.8,3104.1,4153.2,3888.2,3276.9,282,3324.2,3606.2,4170.2,4452.2
2017/9/14,4510,4720,4355,4480,591400,4480,4242,3963.3,3145.9,4306.1,3932.7,3315.1,272.9,3386.9,3659.8,4205.6,4478.5
2017/9/15,4515,4645,4505,4565,256200,4565,4387,4019.5,3190.2,4383.6,3979.5,3336.7,258.4,3462.7,3721.1,4237.9,4496.3
2017/9/19,4700,5270,4655,5090,933000,5090,4577,4081.4,3242.3,4651.4,4112.4,3424.1,401.5,3309.4,3710.9,4513.9,4915.4
2017/9/20,5090,5150,4680,4815,547600,4815,4690,4136.7,3284.1,4762.6,4182.8,3491.5,413.6,3355.6,3769.2,4596.4,5010
2017/9/21,4940,4940,4580,4605,418700,4605,4711,4181,3321.4,4781,4228.8,3562.3,405.5,3417.8,3823.3,4634.3,5039.8
2017/9/22,4595,4690,4140,4630,640400,4630,4741,4211,3359.5,4810,4271.6,3613.3,413,3445.6,3858.6,4684.6,5097.6
2017/9/25,4655,4790,4325,4355,454400,4355,4699,4234,3389.9,4761.9,4297.9,3650.7,403.4,3491.1,3894.5,4701.3,5104.7
2017/9/26,4340,4530,4250,4345,269500,4345,4550,4258.6,3416.5,4582.4,4327,3685.8,392.4,3542.2,3934.6,4719.4,5111.8
2017/9/27,4480,4670,4400,4495,364500,4495,4486,4286.4,3441.8,4508.3,4350.3,3722.7,384.4,3581.5,3965.9,4734.7,5119.1
2017/9/28,4630,4910,4565,4790,438600,4790,4523,4323.6,3476.3,4546.6,4382.6,3776.6,387.2,3608.2,3995.4,4769.8,5157
2017/9/29,4800,4890,4530,4615,438900,4615,4520,4352.6,3509.2,4534.7,4406.2,3816.3,381.1,3644,4025.1,4787.3,5168.4
2017/10/2,4750,4750,4510,4555,260800,4555,4560,4380,3543.1,4583.7,4421.2,3847.1,375.2,3670.8,4046,4796.4,5171.6
2017/10/3,4555,4585,4365,4490,279600,4490,4589,4390.5,3577.4,4605.1,4432.7,3873.1,379.4,3673.9,4053.3,4812.1,5191.5
2017/10/4,4530,4540,4320,4385,249600,4385,4567,4400,3606.2,4596.3,4441.9,3901.4,378.9,3684.1,4063,4820.8,5199.7
2017/10/5,4385,4390,4150,4150,306100,4150,4439,4418.3,3630.1,4451.9,4483.5,3925.5,340.2,3803.1,4143.3,4823.7,5163.9
2017/10/6,4150,4290,4150,4205,194600,4205,4357,4433.6,3657.7,4359.2,4508.5,3938.9,318.8,3870.9,4189.7,4827.3,5146.1
2017/10/10,4210,4345,4165,4335,149900,4335,4313,4458.8,3686.5,4312.9,4537.7,3952.1,285.3,3967.1,4252.4,4823,5108.3
2017/10/11,4300,4350,4180,4200,168600,4200,4255,4476,3714.7,4248.7,4549.2,3964.8,266.8,4015.6,4282.4,4816,5082.8
2017/10/12,4210,4270,4140,4210,121400,4210,4220,4479.3,3743.1,4207.6,4561.3,3971.5,260.2,4040.9,4301.1,4821.5,5081.7
2017/10/13,4175,4195,3970,4045,216100,4045,4199,4469.5,3766,4187,4568.8,3985.5,266.7,4035.4,4302.1,4835.5,5102.2
2017/10/19,4240,4370,4105,4165,242000,4165,4191,4453.6,3791,4177.2,4559.9,4002.3,279.1,4001.7,4280.8,4839,5118.1
2017/10/20,4125,4225,3995,4020,132000,4020,4128,4431.7,3814.1,4126.7,4556.5,4007.3,296.4,3963.7,4260.1,4852.9,5149.3
2017/10/23,4085,4160,3935,4150,157600,4150,4118,4411.9,3839.2,4116.7,4547,4016,304.5,3938,4242.5,4851.5,5156
2017/10/24,4160,4260,4020,4095,93800,4095,4095,4364.5,3861.2,4100.8,4457.7,4036.2,236.1,3985.5,4221.6,4693.8,4929.9
2017/10/25,4125,4180,4070,4070,111200,4070,4100,4329,3884,4112.6,4415.8,4046.5,221.2,3973.4,4194.6,4637,4858.2
2017/10/26,4080,4205,4045,4075,80600,4075,4082,4303.8,3909.8,4085.2,4396,4065.5,224.9,3946.2,4171.1,4620.9,4845.8
