code,date,open,high,low,close,volume,adj_close
5301,2016/11/18,374,385,374,383,1898000,383
5301,2016/11/21,384,388,383,385,824000,385
5301,2016/11/22,386,391,384,389,1136000,389
5301,2016/11/24,392,394,390,391,719000,391
5301,2016/11/25,391,392,382,385,1577000,385
5301,2016/11/28,388,394,378,381,1726000,381
5301,2016/11/29,375,382,374,381,1360000,381
5301,2016/11/30,381,384,378,381,788000,381
5301,2016/12/01,386,390,383,385,1525000,385
5301,2016/12/02,385,392,382,390,1307000,390
5301,2016/12/05,384,388,382,387,868000,387
5301,2016/12/06,391,395,390,394,1194000,394
5301,2016/12/07,397,401,396,400,1182000,400
5301,2016/12/08,402,405,398,404,1176000,404
5301,2016/12/09,407,408,400,404,1988000,404
5301,2016/12/12,409,409,394,405,1137000,405
5301,2016/12/13,403,405,398,404,971000,404
5301,2016/12/14,402,402,394,397,1137000,397
5301,2016/12/15,398,400,395,397,960000,397
5301,2016/12/16,402,405,398,403,839000,403
5301,2016/12/19,403,403,390,391,1023000,391
5301,2016/12/20,389,390,385,388,850000,388
5301,2016/12/21,390,392,383,385,842000,385
5301,2016/12/22,384,387,378,387,806000,387
5301,2016/12/26,388,388,383,384,502000,384
5301,2016/12/27,388,388,383,383,813000,383
5301,2016/12/28,383,386,382,384,619000,384
5301,2016/12/29,383,383,372,373,986000,373
5301,2016/12/30,374,380,371,378,843000,378
5301,2017/01/04,379,391,376,391,1207100,391
5301,2017/01/05,388,391,385,387,880000,387
5301,2017/01/06,388,388,380,386,964600,386
5301,2017/01/10,381,386,379,384,1080300,384
5301,2017/01/11,391,392,382,386,1371000,386
5301,2017/01/12,386,390,381,387,932500,387
5301,2017/01/13,387,390,383,390,985600,390
5301,2017/01/16,386,387,378,381,897100,381
5301,2017/01/17,379,379,373,374,903100,374
5301,2017/01/18,373,379,366,377,1142200,377
5301,2017/01/19,380,382,374,381,809200,381
5301,2017/01/20,381,385,378,383,643800,383
5301,2017/01/23,383,386,379,381,1089200,381
5301,2017/01/24,379,379,374,375,898600,375
5301,2017/01/25,385,397,383,396,1212200,396
5301,2017/01/26,405,418,402,412,2623000,412
5301,2017/01/27,404,420,403,416,2406100,416
5301,2017/01/30,418,419,409,412,1161300,412
5301,2017/01/31,407,410,405,406,893100,406
5301,2017/02/01,401,417,401,415,1024300,415
5301,2017/02/02,412,416,402,403,1080000,403
5301,2017/02/03,409,410,402,407,956700,407
5301,2017/02/06,409,411,405,409,547200,409
5301,2017/02/07,409,419,405,417,1114300,417
5301,2017/02/08,417,425,416,422,962000,422
5301,2017/02/09,421,422,415,422,762300,422
5301,2017/02/10,454,486,450,485,5607000,485
5301,2017/02/13,493,495,473,479,3364300,479
5301,2017/02/14,484,497,476,487,2282300,487
5301,2017/02/15,494,494,483,485,1371200,485
5301,2017/02/16,483,492,477,490,1258200,490
5301,2017/02/17,480,481,467,469,2348300,469
5301,2017/02/20,469,469,459,468,1626900,468
5301,2017/02/21,472,472,461,467,1048600,467
5301,2017/02/22,465,466,451,457,2159500,457
5301,2017/02/23,459,471,455,469,2156200,469
5301,2017/02/24,453,455,442,452,2874300,452
5301,2017/02/27,444,449,439,446,1534300,446
5301,2017/02/28,447,458,447,455,1312200,455
5301,2017/03/01,471,485,462,481,4265000,481
5301,2017/03/02,489,513,489,508,4404800,508
5301,2017/03/03,512,512,499,508,2947900,508
5301,2017/03/06,512,519,507,514,1900600,514
5301,2017/03/07,510,515,503,510,2251500,510
5301,2017/03/08,510,515,497,501,1989100,501
5301,2017/03/09,504,505,500,504,1209100,504
5301,2017/03/10,505,510,502,509,2203400,509
5301,2017/03/13,511,512,502,504,1027800,504
5301,2017/03/14,505,506,500,500,757100,500
5301,2017/03/15,497,497,484,490,1702600,490
5301,2017/03/16,490,509,488,506,2044000,506
5301,2017/03/17,502,511,500,507,1821700,507
5301,2017/03/21,501,505,495,497,1509900,497
5301,2017/03/22,478,488,475,476,2516700,476
5301,2017/03/23,488,500,484,496,2352000,496
5301,2017/03/24,492,501,489,498,1718300,498
5301,2017/03/27,491,491,483,486,1019200,486
5301,2017/03/28,490,500,490,494,1152300,494
5301,2017/03/29,496,500,491,498,1102000,498
5301,2017/03/30,490,501,488,491,849400,491
5301,2017/03/31,495,498,485,485,1429900,485
5301,2017/04/03,490,490,480,484,1359700,484
5301,2017/04/04,479,480,459,469,1919000,469
5301,2017/04/05,471,475,466,474,1324600,474
5301,2017/04/06,469,472,461,468,1604000,468
5301,2017/04/07,474,477,464,470,1942300,470
5301,2017/04/10,472,480,468,478,1079400,478
5301,2017/04/11,474,477,466,469,1068100,469
5301,2017/04/12,461,463,447,450,1166300,450
5301,2017/04/13,447,449,441,448,955200,448
5301,2017/04/14,456,457,443,446,1411200,446
5301,2017/04/17,450,450,438,446,1246100,446
5301,2017/04/18,450,457,449,450,961200,450
5301,2017/04/19,447,455,445,453,890300,453
5301,2017/04/20,449,454,445,447,1100100,447
5301,2017/04/21,455,466,452,459,1373800,459
5301,2017/04/24,472,472,454,457,1221600,457
5301,2017/04/25,458,478,457,477,1598400,477
5301,2017/04/26,486,498,485,493,1781800,493
5301,2017/04/27,490,495,485,486,1476800,486
5301,2017/04/28,490,494,485,488,1208900,488
5301,2017/05/01,488,499,487,497,1009000,497
5301,2017/05/02,499,511,498,505,1823700,505
5301,2017/05/08,518,520,509,514,1469100,514
5301,2017/05/09,519,523,514,516,1461200,516
5301,2017/05/10,550,610,550,590,7602200,590
